date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025-01-15,sz.002594,276.2000,277.3100,274.5000,274.6900,276.3000,6233583,1718769123.1700,3,0.536200,1,-0.582700,0
2025-01-16,sz.002594,274.7000,277.3300,270.5300,272.7600,274.6900,7257175,1984685717.9000,3,0.624300,1,-0.702600,0
2025-01-17,sz.002594,273.5200,279.2000,272.4800,276.6000,272.7600,8614153,2376770800.0500,3,0.741000,1,1.407800,0
2025-01-20,sz.002594,279.0000,286.4300,278.9200,284.4300,276.6000,13579709,3863727458.0800,3,1.168200,1,2.830800,0
2025-01-21,sz.002594,285.0000,287.4300,283.0000,286.0500,284.4300,7644144,2184132797.3000,3,0.657600,1,0.569600,0
2025-01-22,sz.002594,285.0000,286.3000,279.8000,282.5000,286.0500,8105689,2287303620.4200,3,0.697300,1,-1.241000,0
2025-01-23,sz.002594,284.9800,285.0000,277.0000,277.1100,282.5000,9617392,2690601164.0400,3,0.827300,1,-1.908000,0
2025-01-24,sz.002594,276.5100,280.5000,276.0000,279.0800,277.1100,6814367,1898979250.7700,3,0.586200,1,0.710900,0
2025-01-27,sz.002594,279.0900,280.1200,274.5000,274.5000,279.0800,6340768,1755529339.7000,3,0.545500,1,-1.641100,0
2025-02-05,sz.002594,282.7300,286.7500,281.6000,282.8000,274.5000,14535090,4128876836.0500,3,1.250400,1,3.023700,0
2025-02-06,sz.002594,282.8100,311.0800,282.4500,311.0800,282.8000,38145868,11416508784.3100,3,3.281500,1,10.000000,0
2025-02-07,sz.002594,320.0000,330.0000,314.0000,326.9000,311.0800,48707526,15691989047.5700,3,4.190000,1,5.085500,0
