date,code,open,high,low,close,preclose,volume,amount,pctChg
2025-01-15,sz.399376,4470.0756,4477.7596,4430.5086,4449.5585,4476.2697,3047464569,49737785635.3800,-0.596729
2025-01-16,sz.399376,4472.5299,4542.6291,4425.7562,4463.1407,4449.5585,5244847847,60274842568.8400,0.305248
2025-01-17,sz.399376,4445.7444,4548.0156,4443.5095,4520.1807,4463.1407,3932478414,56021502125.6200,1.278024
2025-01-20,sz.399376,4550.9934,4581.1986,4519.9783,4535.1574,4520.1807,3700327858,56015677083.6100,0.331330
2025-01-21,sz.399376,4554.2563,4558.2704,4489.1548,4550.2497,4535.1574,3541462644,56351965165.8500,0.332784
2025-01-22,sz.399376,4529.9509,4544.6281,4492.1745,4527.5116,4550.2497,3515786532,52004025224.4300,-0.499711
2025-01-23,sz.399376,4563.2380,4607.9271,4493.8863,4493.8863,4527.5116,3695854193,60047113304.1100,-0.742688
2025-01-24,sz.399376,4481.9038,4568.9887,4481.9038,4559.0835,4493.8863,3319473564,54252989460.7700,1.450798
2025-01-27,sz.399376,4563.4981,4584.4539,4504.6012,4504.6012,4559.0835,2986912775,48697019036.1000,-1.195027
2025-02-05,sz.399376,4533.8481,4544.5622,4490.3431,4510.8139,4504.6012,3982748219,60108583630.3700,0.137919
2025-02-06,sz.399376,4499.5811,4629.2262,4494.8635,4628.8741,4510.8139,4905808945,75376577195.6100,2.617270
2025-02-07,sz.399376,4625.1869,4752.1010,4624.6788,4696.7776,4628.8741,5530161149,91735815538.9300,1.466955
